"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"8560","Normal/Others","WS/MP138/2024-2025/170347-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Repair Restoration of CC Road at RDS Junior, Mahavidyalaya, Kundabai Campus Village-Kundabai, GP_Kundabai, Block- Udala, Distt-Mayurbhanj","30-Jan-2025","500000","27-Feb-2025"
"8561","Normal/Others","WS/MP839/2024-2025/170349-Construction of community centers and community halls","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Completion of community hall at district Kathua-6 lacs","29-Jan-2025","450000","22-Mar-2025"
"8562","Normal/Others","NA-Construction of public irrigation facilities","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","covering of open nallaah along side shorya smark park","29-Jan-2025","2000000","NA"
"8563","Normal/Others","WS/MP147/2025-2026/170383-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Public reading room construction work, for Pirsingh ki Dhani","30-Jan-2025","1500000","27-May-2025"
"8564","Normal/Others","WS/MP166/2024-2025/170399-Construction of buildings for crèches and anganwadies","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of a new building for the dilapidated old Anganwadi Center in A.S. Pettai, Ward No. 17, Namakkal Corporation","06-Feb-2025","1596447","07-Feb-2025"
"8565","Normal/Others","WS/MP138/2024-2025/170462-Construction of road under bridge","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Repair Restoration of CC Road from Laxinarayan High School to bhaskar Behera House ward no-7 Village Asonbani GP- Pingu Block- Kaptipada","30-Jan-2025","500000","27-Feb-2025"
"8566","Repair and Renovation","WS/MP18332/2024-2025/170529-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","PCC ROAD- PATNA , DIGHA VIDHAN SABHA WARD NO 5 KE AG COLONY ME BRIJNANDAN JI KE MAKAN SE HOTE HUE PANKAJ JI KE GHAR KI ORE- PCC ROAD","30-Jan-2025","703500","01-Mar-2025"
"8567","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","PCC ROAD- DARBHANGA DIGHI POKHAR PROFESSOR COLONY ROAD NO SK MISHRA KE GHAR KE SAMNE SE SHANKAR NIWAS TAK KHUSHI NIWAS T PONT TAK BHAG 1 ROAD NO- 1 SE 2 KO JORNE WALI SADAK. PCC WITHOUT DRAIN.","30-Jan-2025","500000","NA"
"8568","Normal/Others","WS/MP086/2025-2026/170914-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of chain link fencing from 13th cross to 13 A cross, Ward no 178, JP nagar 1st phase, Bangalore","31-Jan-2025","499567","09-Apr-2025"
"8569","Normal/Others","WS/MP086/2025-2026/170915-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of chain link fencing from 13A cross to 14th cross, Ward no 178, JP nagar 1st phase, Bangalore","31-Jan-2025","499341","09-Apr-2025"
"8570","Normal/Others","WS/MP086/2025-2026/170916-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of chain link fencing from 14th cross to 14 A cross, Ward no 178, JP nagar 1st phase, Bangalore","31-Jan-2025","498956","09-Apr-2025"
"8571","Normal/Others","WS/MP086/2025-2026/170925-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of Road at 9th main, 40th mainroad, ward no 178, JP nagar 1st phase, Bangalore","31-Jan-2025","499201","21-Jun-2025"
"8572","Normal/Others","WS/MP086/2025-2026/170927-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete drainage system at H hosahalli village, Hennagara grama panchayat, Anekal Taluk, Jigani Hobali","31-Jan-2025","499595","21-Jun-2025"
"8573","Normal/Others","WS/MP140/2024-2025/171002-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","31-Jan-2025","365800","03-Mar-2025"
"8574","Normal/Others","WS/MP140/2024-2025/171003-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","31-Jan-2025","365800","25-Mar-2025"
"8575","Normal/Others","WS/MP140/2024-2025/171004-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","31-Jan-2025","365800","03-Mar-2025"
"8576","Normal/Others","WS/MP140/2025-2026/171005-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","31-Jan-2025","365800","03-Apr-2025"
"8577","Normal/Others","WS/MP140/2025-2026/171006-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","31-Jan-2025","365800","03-Apr-2025"
"8578","Normal/Others","WS/MP140/2024-2025/171022-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","31-Jan-2025","365800","07-Mar-2025"
"8579","Normal/Others","WS/MP18374/2024-2025/171135-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Laying of CC Road from A.Jangaiah (H) to B. Pandu (H) at Kammeta Village of Chevella Mandal","31-Jan-2025","338677","01-Mar-2025"
"8580","Normal/Others","WS/MP18374/2024-2025/171136-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Laying of CC Road from B.Jangaiah (H) to A.Padmaiah (H) at Kammeta Village of Chevella Mandal","31-Jan-2025","189600","01-Mar-2025"
"8581","Normal/Others","WS/MP893/2024-2025/171163-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Purchase of Mobile Medical Unit","31-Jan-2025","72500000","11-Feb-2025"
"8582","Normal/Others","WS/MP18299/2024-2025/171164-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Medical Unit","04-Feb-2025","49000000","11-Feb-2025"
"8583","Normal/Others","WS/MP218/2024-2025/171165-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Purchase of Mobile Medical Unit","01-Feb-2025","67500000","11-Feb-2025"
"8584","Normal/Others","WS/MP217/2024-2025/171179-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Medical Unit","01-Feb-2025","44848000","11-Feb-2025"
"8585","Normal/Others","WS/MP220/2024-2025/171199-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","Purchase of Mobile Medical Unit","01-Feb-2025","73500000","11-Feb-2025"
"8586","Normal/Others","WS/MP18292/2026-2027/171219-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Construction of CC Road at Umardari From Mukhed - Hibat Degalur Road to Golewar Samaj Crematorium","31-Jan-2025","991432","12-Aug-2026"
"8587","Normal/Others","WS/MP052/2025-2026/171243-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","NA","31-Jan-2025","1083195","09-May-2025"
"8588","Normal/Others","WS/MP199/2025-2026/171309-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","Interlocking Road and Naali Work","01-Feb-2025","1213882","29-May-2025"
"8589","Normal/Others","WS/MP199/2025-2026/171310-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","1527604","29-May-2025"
"8590","Normal/Others","WS/MP199/2025-2026/171311-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","1659307","29-May-2025"
"8591","Normal/Others","WS/MP199/2025-2026/171312-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","516309","29-May-2025"
"8592","Normal/Others","WS/MP199/2025-2026/171313-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","323830","29-May-2025"
"8593","Normal/Others","WS/MP199/2025-2026/171314-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","619000","29-May-2025"
"8594","Normal/Others","WS/MP199/2025-2026/171315-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","1152386","29-May-2025"
"8595","Normal/Others","WS/MP199/2025-2026/171316-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","CC Road and Naali Work","01-Feb-2025","1429611","29-May-2025"
"8596","Normal/Others","WS/MP086/2025-2026/171330-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore District, Bangalore South Taluk, Tavarekere Village, SC Colony, Solar light installment work at the road of Narasimhaiah","01-Feb-2025","499403","05-Apr-2025"
"8597","Normal/Others","WS/MP086/2025-2026/171364-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore District, Bangalore South Taluk, Tavarekere Village, SC Colony, Solar light installment work at the road of Anjanappa","01-Feb-2025","499403","05-Apr-2025"
"8598","Normal/Others","WS/MP086/2025-2026/171371-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore District, Bangalore South Taluk, Tavarekere Village, SC Colony, Solar light installment work at the road of Lokesh","01-Feb-2025","499403","05-Apr-2025"
"8599","Normal/Others","WS/MP086/2025-2026/171389-Construction of community centers and community halls","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore district, Ward No.145, Construction of MS pipe and Puff roof roping for Hop Coms shop","01-Feb-2025","499046","05-Apr-2025"
"8600","Trust and Society","WS/MP18365/2024-2025/171395-Construction of rooms and halls in school and colleges","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","NA","01-Feb-2025","2100000","21-Mar-2025"
"8601","Normal/Others","WS/MP086/2025-2026/171396-Construction of boundary walls of existing public and community buildings","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bangalore District, BTM constituency, KSRP 3 Betalian, Jakkasandra, Providing additional facilities to the existing community building","01-Feb-2025","499650","05-Apr-2025"
"8602","Normal/Others","WS/MP18316/2024-2025/171664-Construction of culverts and bridges","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","Mohi Bhilai jod par stap dam cum puliya nirman","05-Feb-2025","500000","27-Mar-2025"
"8603","Normal/Others","WS/MP18286/2025-2026/171790-Development of public parks","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Concreting work at park in the area of pashan Lake","02-Feb-2025","994432","25-Sep-2025"
"8604","Trust and Society","WS/MP192/2025-2026/171808-Construction of rooms and halls in school and colleges","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM NAGLA AALAMPUR KHANPUR  BLOCK UNCHAGAO ME BIRANGNA AVANTIWAI MAHAVIDHALAY DISTRICT BULANDSHAHAR ROOM KA NIRMAN KARY","23-Mar-2025","525000","22-Jul-2025"
"8605","Normal/Others","NA-Construction of community centers and community halls","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","Construction of classrooms (fans, light fittings and benches) in Akshar Vidyalaya, Hamrapur, Pen Md., Raigad Taluka, District.","03-Feb-2025","1500000","NA"
"8606","Normal/Others","NA-Construction of rooms and halls in school and colleges","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of four classrooms in Divya Diksha Institute - Pr. School, Dhaurahara","03-Feb-2025","2500000","NA"
"8607","Normal/Others","WS/MP183/2025-2026/171998-Installing hand pumps","Uttar Pradesh","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","SMT. SUMITRA WIFE OF  RAJ KUMAR (JATAV), VILLAGE SAIFAI, DISTT. ETAWAH, COST Rs. 85218. CONTACT NO- 7078590220.","03-Feb-2025","85218","30-Apr-2025"
"8608","Normal/Others","WS/MP141/2024-2025/172010-Construction of shelters for animals","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of shelters for animals at shri gopal  krishan gaushala committee , near punjab and sind bank , jandiala guru , amritsar","03-Feb-2025","1500000","06-Mar-2025"
"8609","Normal/Others","WS/MP18304/2024-2025/172142-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and pathways","04-Feb-2025","250000","12-Mar-2025"
"8610","Normal/Others","WS/MP18304/2024-2025/172148-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and pathways","04-Feb-2025","250000","12-Mar-2025"
"8611","Normal/Others","WS/MP18304/2024-2025/172152-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and pathways","04-Feb-2025","250000","12-Mar-2025"
"8612","Normal/Others","WS/MP18304/2024-2025/172153-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and pathways","04-Feb-2025","250000","12-Mar-2025"
"8613","Normal/Others","WS/MP18304/2024-2025/172154-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and pathways","04-Feb-2025","150000","12-Mar-2025"
"8614","Normal/Others","WS/MP18364/2025-2026/172293-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Roads.","12-Feb-2025","499575","04-Apr-2025"
"8615","Normal/Others","WS/MP18364/2025-2026/172294-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Roads.","12-Feb-2025","499575","04-Apr-2025"
"8616","Normal/Others","WS/MP18364/2025-2026/172295-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Roads.","12-Feb-2025","499575","04-Apr-2025"
